cnt,var,year,Agriculture,Mining,Manufacturing,Utilities,Construction,Trade services,Transport services,Business services,Financial services,Real estate,Government services,Other services,Total
ARG,VA,1990,8317,2710,43779,4175,6444,19510,5723,7538,3118,3747,11015,4417,120491
ARG,VA,1991,18048,5130,104598,9189,17712,52132,14934,20373,8429,10127,33674,13505,307851
ARG,VA,1992,20187,5595,117573,12033,25485,63450,18577,28097,11624,13966,44329,17778,378694
ARG,VA,1993,20859,5868,124614,13787,33096,69000,20634,33559,13883,16680,51019,20461,423460
ARG,VA,1994,22466,6355,132515,14605,35366,75152,23342,32498,13445,16153,54847,21511,448254
ARG,VA,1995,23709,8049,128553,15321,33148,72344,24376,35617,14735,17703,55901,21078,450534
ARG,VA,1996,26218,9797,137859,15685,33427,78213,26219,35481,14679,17636,56017,21738,472969
ARG,VA,1997,26257,9370,154205,16493,37266,86254,29353,36508,15103,18146,58007,22730,509693
ARG,VA,1998,26961,7173,154044,17450,40519,88211,31193,40142,16607,19952,60472,22713,525436
ARG,VA,1999,21701,7776,138917,18385,37977,80121,30035,41566,17196,20661,63400,22654,500388
ARG,VA,2000,22836,11808,135415,19737,32887,77098,30868,41564,17195,20660,65242,23098,498408
ARG,VA,2001,21077,11075,124913,18981,28658,70483,29252,49663,20546,24685,64150,22747,486231
ARG,VA,2002,54778,31067,183730,16045,19492,70891,29563,59390,24570,29520,61680,18872,599597
ARG,VA,2003,66660,34151,244182,18367,28495,86772,38335,49380,20429,24545,67173,21506,699996
ARG,VA,2004,74084,39164,288272,20890,42663,102529,47989,61508,25446,30572,75477,26017,834612
ARG,VA,2005,82464,45964,332043,24032,54218,125732,56070,77039,31250,34262,95929,31467,990469
ARG,VA,2006,91136,64815,395648,28174,71213,156462,67203,99468,38816,38066,120563,39676,1211240
ARG,VA,2007,123349,68137,475383,35959,90434,202323,83085,132343,48962,42852,156279,48613,1507720
ARG,VA,2008,154838,76767,592400,42723,116288,261870,102567,170965,61679,51767,211480,62925,1906269
ARG,VA,2009,134787,84909,610100,47240,107896,273421,104844,200222,70776,61451,271997,75824,2043466
ARG,VA,2010,212602,107177,830075,58902,150346,371699,140249,253609,87426,72122,347335,96171,2727713
ARG,VA,2011,271983,129576,1094095,69994,207137,494923,180814,332404,114557,82768,476217,125210,3579679
ARG,VA,2012,288149,154038,1279239,79987,239703,603743,212632,407318,154701,101034,616746,160211,4297499
ARG,VA,2013,373322,183520,1602556,90313,302844,762630,280595,512589,195364,122517,793368,204404,5424021
ARG,VA,2014,543657,278985,2178265,117850,402617,1028279,396145,671961,268646,155271,1091956,269554,7403186
ARG,VA,2015,574184,309735,2686796,148686,507073,1475003,482055,902192,340438,205877,1509774,359892,9501705
ARG,VA,2016,900898,432535,3636745,280914,590451,2018542,673306,1228554,517488,296092,2080766,488805,13145094
ARG,VA,2017,1057367,507784,4458416,396714,840124,2626075,901787,1678397,683934,410065,2716435,637046,16914144
ARG,VA,2018,1637320,911676,6203219,757238,1108480,3486472,1322735,2266316,970952,582349,3481934,820623,23549314
ARG,VA_Q15,1990,302391,179964,1372372,47078,188192,654200,165403,293376,126231,109690,701225,183110,4323232
ARG,VA_Q15,1991,314779,185196,1512840,48644,245951,755162,182146,333299,143409,124616,722092,188558,4756694
ARG,VA_Q15,1992,315447,205816,1687958,52909,289082,837261,204556,358062,154064,133875,757931,197917,5194877
ARG,VA_Q15,1993,323162,226282,1766373,58788,320518,866024,215343,393673,169386,147189,789731,206221,5482689
ARG,VA_Q15,1994,347309,257399,1845853,65157,338969,924305,237485,461015,198361,172368,790943,217331,5856495
ARG,VA_Q15,1995,366844,299596,1713605,70000,297739,855219,241565,455273,195891,170221,800987,215244,5682183
ARG,VA_Q15,1996,362624,313166,1824165,72837,322878,922704,258269,508398,218749,190084,820492,219442,6033808
ARG,VA_Q15,1997,364296,315317,1991102,78790,376415,1023121,287223,571371,245844,213628,836321,239899,6543327
ARG,VA_Q15,1998,396101,303231,2027913,84804,409107,1057940,312663,660260,284090,246863,841768,248288,6873028
ARG,VA_Q15,1999,405880,293316,1867122,87853,376972,985176,308605,661724,284720,247410,865164,248307,6632250
ARG,VA_Q15,2000,398758,313041,1795738,93637,341847,961419,313952,674775,290336,252290,880981,251869,6568641
ARG,VA_Q15,2001,402951,327638,1663536,94681,302189,886465,299597,621634,267470,232421,882828,249449,6230859
ARG,VA_Q15,2002,393746,315378,1481292,91810,201257,737817,275812,514129,221214,192226,878069,224882,5527633
ARG,VA_Q15,2003,420803,327119,1717813,98179,270431,823890,298482,452926,194880,169343,896641,235349,5905857
ARG,VA_Q15,2004,414373,325741,1923539,104606,349949,926284,338624,438095,188499,163798,919201,256853,6349561
ARG,VA_Q15,2005,468036,322171,2069778,110638,387528,1026435,375169,508373,207641,166876,999236,277059,6918940
ARG,VA_Q15,2006,475993,339472,2258109,114706,438426,1136840,403746,588509,234600,170941,1033423,304262,7499027
ARG,VA_Q15,2007,521767,332089,2431308,118594,490561,1268596,440031,675317,268169,175379,1104097,322285,8148193
ARG,VA_Q15,2008,511315,328529,2494964,123589,518258,1326272,441472,745948,283169,179963,1159930,338040,8451448
ARG,VA_Q15,2009,420670,327357,2321173,122927,417288,1234443,406721,744051,276945,183887,1226879,338280,8020620
ARG,VA_Q15,2010,531367,332760,2598004,126485,483244,1379365,463402,797023,279915,188494,1286815,352771,8819644
ARG,VA_Q15,2011,528036,313687,2813148,132578,536913,1514709,486723,850907,308542,191678,1339422,362505,9378846
ARG,VA_Q15,2012,486721,310804,2744036,137927,514152,1485927,469538,858454,330630,196158,1377127,366789,9278264
ARG,VA_Q15,2013,531295,300297,2795073,139337,513200,1517130,482333,872272,346340,199678,1425301,367319,9489577
ARG,VA_Q15,2014,545537,305055,2658672,142133,494736,1426399,471658,877981,336370,203118,1444393,360189,9266242
ARG,VA_Q15,2015,574184,309735,2686796,148686,507073,1475003,482055,902192,340438,205877,1509774,359892,9501705
ARG,VA_Q15,2016,567639,290434,2561192,151661,445036,1440494,492835,917047,330832,208908,1488680,356067,9250825
ARG,VA_Q15,2017,587791,281010,2627102,149159,500341,1473202,516513,939431,346680,212214,1529496,359486,9522425
ARG,VA_Q15,2018,537608,284324,2513463,148786,501300,1423223,503070,936032,359620,215737,1506232,358770,9288165
ARG,EMP,1990,1248,25,2032,189,789,2203,686,698,99,51,2431,1360,11811
ARG,EMP,1991,1253,26,2054,187,783,2292,711,728,103,54,2564,1435,12191
ARG,EMP,1992,1233,28,2089,184,778,2365,765,731,104,54,2599,1455,12386
ARG,EMP,1993,1223,25,1992,191,646,2464,832,831,118,61,2541,1422,12345
ARG,EMP,1994,1215,30,1930,203,615,2332,929,949,135,70,2570,1439,12416
ARG,EMP,1995,1170,28,1690,179,727,2142,873,946,134,70,2485,1391,11835
ARG,EMP,1996,1151,29,1652,186,769,2219,884,1013,144,74,2575,1441,12137
ARG,EMP,1997,1148,30,1759,215,760,2271,942,1092,155,80,2764,1547,12763
ARG,EMP,1998,1138,27,1731,242,758,2473,989,1172,166,86,2929,1639,13351
ARG,EMP,1999,1119,23,1634,240,714,2457,1040,1298,184,95,2986,1671,13461
ARG,EMP,2000,1091,23,1575,227,702,2554,1063,1300,184,96,3066,1716,13598
ARG,EMP,2001,1062,26,1521,207,759,2537,1017,1269,180,93,3100,1735,13505
ARG,EMP,2002,1062,28,1421,169,649,2338,935,1228,174,90,3550,1769,13413
ARG,EMP,2003,1015,36,1587,180,791,2617,876,1276,181,94,3723,1694,14069
ARG,EMP,2004,1033,43,1789,171,932,2913,983,1326,188,97,3709,1812,14997
ARG,EMP,2005,1056,41,1834,195,1076,2988,1010,1502,213,110,3725,1999,15750
ARG,EMP,2006,1058,50,1918,181,1114,3085,1017,1640,232,121,3862,2021,16298
ARG,EMP,2007,1069,50,2009,211,1225,3134,1117,1783,253,131,3875,2106,16961
ARG,EMP,2008,1084,54,2030,240,1243,3290,1170,1792,254,132,4000,2082,17370
ARG,EMP,2009,1074,52,1932,214,1264,3252,1157,1896,269,139,4168,2145,17562
ARG,EMP,2010,1089,61,2046,231,1264,3383,1187,1957,278,144,4228,2208,18077
ARG,EMP,2011,1076,66,2111,288,1358,3451,1206,1941,291,151,4392,2158,18488
ARG,EMP,2012,1066,68,2105,259,1376,3479,1270,1879,306,159,4622,2204,18791
ARG,EMP,2013,1033,68,2159,269,1396,3450,1301,1950,276,143,4780,2299,19124
ARG,EMP,2014,1074,67,2168,291,1429,3424,1293,1932,273,141,4954,2337,19383
ARG,EMP,2015,1187,59,2204,325,1460,3440,1382,1896,287,149,5076,2391,19854
ARG,EMP,2016,1024,63,2118,269,1473,3591,1232,2114,260,135,5106,2339,19723
ARG,EMP,2017,1045,51,2057,262,1495,3702,1255,2229,283,147,5192,2314,20034
ARG,EMP,2018,1034,62,1973,304,1513,3818,1235,2145,294,152,5225,2379,20135
BFA,VA,1990,231760,35148,171779,4964,27443,158426,8492,22276,12747,135771,175444,34171,1018421
BFA,VA,1991,258766,32895,162846,4895,30977,153602,7898,21341,13422,141260,184673,35982,1048556
BFA,VA,1992,251401,31093,175440,6067,30839,153732,8145,21980,13759,146557,184947,36018,1059978
BFA,VA,1993,268979,27488,173829,7032,31116,155167,8814,23416,13879,148680,186318,36270,1080987
BFA,VA,1994,340471,38753,184959,10479,44838,197414,10373,27490,16153,168535,175000,36270,1250734
BFA,VA,1995,387413,37852,221423,11375,42065,201847,10943,29137,17395,181866,190700,43586,1375603
BFA,VA,1996,472752,41457,235775,10961,40610,209019,13121,34128,18734,200968,204100,47306,1528930
BFA,VA,1997,473341,46864,275754,11582,45531,214495,15449,39401,20176,203218,212000,52018,1609827
BFA,VA,1998,594131,33346,306800,13030,41372,223192,16464,42090,21728,218726,232300,54994,1798174
BFA,VA,1999,568500,36500,337700,18200,76300,239400,20400,50600,23400,229800,295700,55000,1951500
BFA,VA,2000,525200,38500,323700,18700,80100,256500,25400,57000,21500,230600,346600,55700,1979500
BFA,VA,2001,629000,41900,349100,19800,71500,273700,23500,63200,27700,235200,397400,57100,2189100
BFA,VA,2002,662700,51000,373200,20800,73500,297500,26300,67800,33300,241900,420900,58400,2327300
BFA,VA,2003,713700,75200,428500,25400,92900,326100,29500,73500,35300,254000,425700,61300,2541100
BFA,VA,2004,672200,81900,435300,26100,108100,372400,32500,90100,36300,261100,451800,64000,2631800
BFA,VA,2005,867600,83300,432300,28200,109700,401400,40600,104800,49000,272500,486400,66600,2942400
BFA,VA,2006,863000,54900,480400,31600,134500,466300,44100,116200,53300,286400,561900,69100,3161700
BFA,VA,2007,797100,102900,523300,36900,159900,501000,48200,140100,55800,293700,652000,71300,3382200
BFA,VA,2008,1151400,94100,548500,40700,182800,559800,58100,146900,64000,303100,673700,73900,3897000
BFA,VA,2009,1031400,184600,602200,45100,188400,593300,60500,161600,67200,348700,714100,86500,4083600
BFA,VA,2010,1207700,402200,607300,46200,247700,595400,65200,178600,68400,354800,729300,88500,4591300
BFA,VA,2011,1311800,619400,661100,45100,289600,689500,67900,188100,75900,365000,827100,90500,5231000
BFA,VA,2012,1523500,737900,663300,38200,283700,744200,94000,253500,82700,373500,927100,92600,5814200
BFA,VA,2013,1569800,592700,675300,38500,293400,811800,96000,243400,108200,383600,986400,94700,5893800
BFA,VA,2014,1631200,627900,757000,41900,289500,794500,100300,258400,119600,394700,1115000,96800,6226800
BFA,VA,2015,1583300,599000,812900,57100,234400,874900,78700,268100,115000,404400,1172200,98900,6298900
BFA,VA,2016,1651100,699300,845000,72800,276200,868000,101900,311200,137500,414000,1308900,101100,6787000
BFA,VA,2017,1755400,792900,867500,75000,311000,918100,114700,343400,160500,425300,1546300,103300,7413400
BFA,VA,2018,1947865,859181,866062,78669,321308,988257,122226,343600,187117,462453,1771500,105600,8053839
BFA,VA_Q15,1990,540915,130577,245298,9504,31626,281795,23743,22737,11649,175536,353500,62317,1889197
BFA,VA_Q15,1991,652567,112654,225386,10258,34146,266720,20739,21483,12097,180117,360747,62556,1959470
BFA,VA_Q15,1992,669199,117775,235345,10635,32514,260602,20088,21606,12110,182480,350264,59694,1972314
BFA,VA_Q15,1993,734845,133137,226009,11088,31379,256782,20415,22989,12200,184893,342099,57305,2033141
BFA,VA_Q15,1994,738738,224028,233080,11540,43249,318931,22567,19588,10305,152112,311519,54629,2140288
BFA,VA_Q15,1995,785805,211227,270446,12672,38810,318343,22359,23589,12609,186497,329113,62583,2274052
BFA,VA_Q15,1996,884362,213787,276927,13501,35837,321819,25180,23077,11342,172127,341496,64752,2384208
BFA,VA_Q15,1997,849858,215067,338695,14859,38430,322402,27843,29178,13378,190621,343896,67877,2452105
BFA,VA_Q15,1998,990528,93452,355282,17499,33401,327501,27869,34011,15720,223871,365334,68409,2552877
BFA,VA_Q15,1999,1024324,103693,402503,19912,58919,342935,32432,45138,18690,259661,417765,65222,2791196
BFA,VA_Q15,2000,970795,110632,375522,19936,63320,377317,34417,47918,18615,259685,485297,66052,2829505
BFA,VA_Q15,2001,1050083,116066,400804,20476,64183,390672,34712,55670,23415,263973,552970,67238,3040262
BFA,VA_Q15,2002,1040345,134921,425542,20214,63747,421595,34023,60870,27228,266703,584334,67238,3146760
BFA,VA_Q15,2003,1136465,185679,470879,24612,70808,451753,39544,65465,30017,280044,582356,70677,3408300
BFA,VA_Q15,2004,1077244,201229,482594,26337,82962,509345,46628,76152,33395,288190,618806,73167,3516049
BFA,VA_Q15,2005,1210042,218063,505614,28399,85636,563278,49633,90189,45328,301105,671362,76250,3844901
BFA,VA_Q15,2006,1229345,141860,547777,31663,104507,649720,55472,97489,50521,308621,761923,76606,4055503
BFA,VA_Q15,2007,1165351,246172,591968,35790,114871,675735,59950,117568,52493,315467,784810,78741,4238917
BFA,VA_Q15,2008,1354588,203680,574948,42978,120580,679810,66705,123303,60094,323134,790461,82061,4422342
BFA,VA_Q15,2009,1214841,325000,596238,46591,133145,744829,70678,133586,63697,338544,797949,84670,4549766
BFA,VA_Q15,2010,1391359,449385,609127,48683,159088,726181,73258,167906,65580,352334,798373,89888,4931163
BFA,VA_Q15,2011,1359378,529402,654554,54337,185166,766316,79788,198884,74412,361744,863645,91666,5219294
BFA,VA_Q15,2012,1474831,513858,652854,49163,183032,801652,99576,266713,82044,370168,902638,92852,5489383
BFA,VA_Q15,2013,1566667,558098,675300,47590,179779,840918,103448,255508,109183,380933,951945,94275,5763644
BFA,VA_Q15,2014,1636108,626647,763105,48106,182996,833474,109737,266845,120080,394700,1046178,97477,6125453
BFA,VA_Q15,2015,1583300,599000,812900,57100,234400,874900,78700,268100,115000,404400,1172200,98900,6298900
BFA,VA_Q15,2016,1649451,621600,830875,70406,264306,866152,91968,306058,136544,414000,1292429,100442,6644231
BFA,VA_Q15,2017,1629898,733488,852161,73746,288230,891107,102870,339272,153149,425726,1458716,101983,7050345
BFA,VA_Q15,2018,1791115,821074,846575,76446,299762,944361,109042,337593,179298,464318,1605506,103643,7578734
BFA,EMP,1990,3495,4,116,1,17,166,17,2,0,0,125,16,3958
BFA,EMP,1991,3596,4,119,1,17,172,17,2,0,0,129,17,4075
BFA,EMP,1992,3704,4,123,1,18,177,18,2,0,0,133,17,4198
BFA,EMP,1993,3816,4,126,1,18,181,18,2,0,0,135,17,4319
BFA,EMP,1994,4130,4,130,1,19,187,19,2,0,0,140,18,4651
BFA,EMP,1995,4185,5,126,2,20,200,20,3,0,0,137,21,4719
BFA,EMP,1996,4218,6,123,2,21,214,21,3,0,0,134,24,4768
BFA,EMP,1997,4248,7,119,3,23,229,22,4,1,0,131,28,4814
BFA,EMP,1998,4281,9,115,4,25,245,22,4,1,0,128,33,4868
BFA,EMP,1999,4284,11,112,5,26,262,23,5,2,0,125,38,4894
BFA,EMP,2000,4298,14,109,7,28,280,24,6,3,0,122,44,4935
BFA,EMP,2001,4293,17,105,9,30,299,26,8,4,0,119,52,4962
BFA,EMP,2002,4270,20,102,11,32,320,27,9,6,0,117,60,4976
BFA,EMP,2003,4211,25,99,15,35,342,28,11,10,0,114,69,4960
BFA,EMP,2004,4172,24,123,11,41,371,22,11,8,0,120,79,4983
BFA,EMP,2005,4131,23,153,8,49,402,18,10,7,0,127,89,5017
BFA,EMP,2006,4059,23,190,6,58,436,14,10,5,0,134,101,5036
BFA,EMP,2007,4228,23,192,6,56,445,17,12,6,0,130,109,5224
BFA,EMP,2008,4437,23,193,6,54,454,22,15,8,0,126,117,5455
BFA,EMP,2009,4509,23,195,6,52,463,27,18,9,0,122,126,5551
BFA,EMP,2010,4557,23,197,6,51,473,33,23,11,1,118,136,5628
BFA,EMP,2011,4217,48,264,6,71,576,37,25,10,1,128,164,5546
BFA,EMP,2012,3834,103,353,6,100,702,41,26,9,1,138,198,5511
BFA,EMP,2013,3429,219,474,7,141,855,46,28,8,1,148,239,5594
BFA,EMP,2014,3061,468,634,7,199,1041,51,30,7,1,160,288,5948
BFA,EMP,2015,3125,417,657,7,189,1144,58,47,9,1,186,278,6118
BFA,EMP,2016,3199,374,682,8,181,1249,66,71,10,1,217,267,6325
BFA,EMP,2017,3264,334,705,8,173,1364,75,110,13,2,255,256,6558
BFA,EMP,2018,3312,300,726,8,166,1484,85,168,15,4,285,244,6797
BGD,VA,1990,328426,11949,133527,17929,48633,133818,81757,40853,22768,55598,72852,116818,1064927
BGD,VA,1991,363235,13693,150698,20546,53315,148292,106412,46106,25207,61554,80656,129332,1199045
BGD,VA,1992,377545,15715,170922,23580,60455,160542,118366,50967,27839,67982,89078,142838,1305828
BGD,VA,1993,352560,18988,191496,25678,64555,170034,125957,55903,30633,74665,101665,154756,1366890
BGD,VA,1994,372457,20470,212606,27792,71281,185676,132143,63039,34081,82502,110605,165887,1478540
BGD,VA,1995,429794,23077,238962,29846,83073,213733,139802,69719,38158,90064,119829,178136,1654194
BGD,VA,1996,455952,24941,262151,31588,94238,233519,148899,80343,42756,103878,129515,194781,1802561
BGD,VA,1997,497105,26900,287961,33598,104264,249578,158040,88835,46874,112073,141469,209591,1956288
BGD,VA,1998,545188,29163,332747,34777,118738,281278,169776,95987,50819,121243,159158,232038,2170913
BGD,VA,1999,617109,30877,348854,37340,133869,308842,183255,105790,56923,134690,178584,252050,2388182
BGD,VA,2000,649264,34535,370714,40420,150978,331756,201214,113779,61957,145388,200853,277429,2578287
BGD,VA,2001,656729,39445,406864,44028,165651,368566,222809,124259,66426,153821,215896,295210,2759705
BGD,VA,2002,666331,44787,444858,47892,181280,400842,255693,136498,71459,165028,231012,322924,2968604
BGD,VA,2003,701444,49451,487509,52488,197190,444049,315125,146809,80144,176608,253476,363615,3267908
BGD,VA,2004,747560,54443,548315,58212,217590,500938,347478,160199,88284,189828,280004,409172,3602025
BGD,VA,2005,796742,60384,625661,64587,248984,571091,378078,182074,100801,204572,313519,461614,4008106
BGD,VA,2006,873679,69380,733431,70935,280994,647332,419570,206193,113534,221165,354433,521664,4512309
BGD,VA,2007,977875,79520,863844,73545,321658,749707,467935,234070,131535,239958,411556,593672,5144874
BGD,VA,2008,1112305,91922,999232,79867,375725,888272,540257,266249,152108,260065,470074,684050,5920129
BGD,VA,2009,1237352,105958,1132723,86073,429457,1003237,607425,300906,174029,280687,534688,795327,6687863
BGD,VA,2010,1388395,121246,1278114,94656,476861,1140720,677738,338520,208927,303467,612241,932942,7573827
BGD,VA,2011,1539506,142084,1465027,115893,570716,1295602,810162,394898,275454,341820,694052,1046077,8691291
BGD,VA,2012,1707064,166504,1679275,141894,683044,1471513,968486,460666,363164,385019,786795,1172932,9986356
BGD,VA,2013,1857524,194611,1971272,163812,824321,1658428,1068802,523575,422665,438628,899758,1389516,11412912
BGD,VA,2014,2062758,210799,2232207,184006,908336,1856105,1151621,604657,485632,499178,1044189,1565516,12805004
BGD,VA,2015,2240810,238757,2544831,198682,1084839,2075133,1500253,689225,557610,574049,1184333,1764017,14652539
BGD,VA,2016,2433902,285777,2951100,238291,1263532,2313157,1474835,796715,636013,657494,1479813,1942478,16473107
BGD,VA,2017,2650253,341270,3418287,262435,1461073,2632763,1639096,926258,732046,750793,1742829,2142127,18699230
BGD,VA,2018,2942398,388837,4041443,293361,1698550,3019453,1799175,1056939,837283,854375,1987697,2363779,21283290
BGD,VA_Q15,1990,963111,29320,377602,26997,160536,467992,431429,124373,110255,264380,206747,610195,3772936
BGD,VA_Q15,1991,978628,35539,386548,32546,167756,486561,444703,128544,113990,273336,220931,648024,3917106
BGD,VA_Q15,1992,1000086,41758,414867,38235,175224,505569,463043,132975,117825,282531,236334,691144,4099592
BGD,VA_Q15,1993,1018138,47534,452554,43367,183648,505729,485460,129650,113804,272889,275831,820612,4349215
BGD,VA_Q15,1994,1043898,51767,491571,46407,194648,521741,498874,134685,117038,282097,301290,842943,4526957
BGD,VA_Q15,1995,1052726,54430,531610,49440,212704,550575,512540,142631,122904,291484,318124,866036,4705205
BGD,VA_Q15,1996,1049542,59685,587327,52055,233042,593621,533163,150353,129163,301614,330665,889891,4910121
BGD,VA_Q15,1997,1082112,64346,624959,54883,252860,621226,556846,157825,135459,311879,341216,914654,5118266
BGD,VA_Q15,1998,1146986,66640,656528,55944,274716,655142,578379,168684,142423,322925,357422,940159,5365947
BGD,VA_Q15,1999,1183636,70475,712625,57068,300769,694498,610294,176182,149931,335196,379334,966957,5636966
BGD,VA_Q15,2000,1239792,71404,735391,60493,327597,739748,646272,183601,158030,347999,401934,995483,5907744
BGD,VA_Q15,2001,1331302,78170,770392,64596,355384,793606,685916,191234,166721,361343,426639,1025921,6251225
BGD,VA_Q15,2002,1373084,85792,821883,69376,386117,844842,727278,206241,175961,373668,452092,1058209,6574543
BGD,VA_Q15,2003,1373163,89678,866953,74670,419380,900659,762461,221323,187758,386446,480380,1092449,6855320
BGD,VA_Q15,2004,1415414,96108,925458,80659,453313,955861,803091,237079,200275,400056,509805,1128717,7205838
BGD,VA_Q15,2005,1473298,103471,991122,87988,490730,1018914,842607,252748,214326,414393,545457,1173521,7608575
BGD,VA_Q15,2006,1505802,112145,1072307,95815,531489,1090914,875520,283031,233452,429525,587956,1221031,8038988
BGD,VA_Q15,2007,1580159,122527,1187752,103162,575680,1164917,910433,316173,253300,445379,636986,1270980,8567449
BGD,VA_Q15,2008,1652138,132732,1303243,105325,616017,1258304,947454,352805,276564,461624,690226,1329176,9125607
BGD,VA_Q15,2009,1705087,144602,1397233,112452,650989,1344544,990184,395219,301153,476400,738468,1390534,9646864
BGD,VA_Q15,2010,1775278,158827,1490506,119100,688073,1428867,1040751,437399,328238,488148,793258,1455929,10204375
BGD,VA_Q15,2011,1884491,171765,1589577,130973,737678,1512616,1115741,468939,348740,499316,848242,1502736,10810815
BGD,VA_Q15,2012,1968471,177978,1748748,148476,788971,1613376,1195839,510357,385161,512407,909499,1551282,11510565
BGD,VA_Q15,2013,2027806,190304,1922840,164178,855439,1721254,1281872,563795,442005,524781,969746,1601654,12265674
BGD,VA_Q15,2014,2077791,208105,2121024,178930,924238,1827931,1350333,603352,482282,542258,1028025,1653773,12998041
BGD,VA_Q15,2015,2168630,217853,2306969,187051,998937,1950844,1418415,650679,517353,555852,1095304,1707916,13775803
BGD,VA_Q15,2016,2240810,238757,2544831,198682,1084839,2075133,1500253,689225,557610,574049,1184333,1764017,14652539
BGD,VA_Q15,2017,2303245,269414,2842342,225165,1177709,2210470,1590399,735831,600770,588750,1309639,1822211,15675946
BGD,VA_Q15,2018,2371761,293372,3154011,244204,1281006,2373214,1696943,789109,655560,603156,1433598,1888118,16784053
BGD,EMP,1990,32935,37,6429,26,589,4207,1385,125,180,9,1851,2318,50091
BGD,EMP,1991,33303,15,5925,40,525,4285,1555,140,201,11,1909,2249,50158
BGD,EMP,1992,33717,16,5525,48,604,4622,1681,141,190,10,2343,1991,50889
BGD,EMP,1993,33985,18,5130,58,679,4973,1814,142,179,9,2871,1760,51616
BGD,EMP,1994,34296,19,4765,71,772,5334,1950,142,167,9,2438,1542,51504
BGD,EMP,1995,34552,21,4426,86,893,5700,2091,142,156,8,4231,1346,53652
BGD,EMP,1996,34530,23,4085,103,1015,6060,2228,141,145,8,5092,1168,54597
BGD,EMP,1997,34052,44,4006,110,1026,6139,2283,154,170,9,2398,1356,51747
BGD,EMP,1998,33522,83,3922,118,1041,6204,2337,169,200,10,2107,1573,51286
BGD,EMP,1999,32895,156,3859,126,1072,6247,2381,185,234,12,1858,1834,50860
BGD,EMP,2000,32171,295,3783,134,1099,6275,2422,202,274,14,2969,2126,51764
BGD,EMP,2001,28869,193,3952,121,1254,6423,2584,224,257,16,2877,2258,49028
BGD,EMP,2002,25797,126,4137,109,1438,6553,2745,249,240,19,1882,2402,45695
BGD,EMP,2003,22931,82,4343,98,1541,6671,2910,277,223,22,2677,2549,44324
BGD,EMP,2004,23040,70,4621,90,1538,7059,3201,300,293,23,1448,2566,44250
BGD,EMP,2005,22985,60,4908,83,1588,7427,3507,324,382,25,2597,2587,46474
BGD,EMP,2006,22767,51,5224,76,1524,7821,3838,350,507,27,2550,2622,47358
BGD,EMP,2007,23537,66,5457,85,1679,8135,3863,413,468,28,2463,2643,48837
BGD,EMP,2008,24295,84,5697,93,1921,7692,3888,487,430,30,2377,2645,49641
BGD,EMP,2009,24923,107,5920,101,2255,9169,3913,574,391,33,2291,2629,52306
BGD,EMP,2010,26228,139,6320,113,2618,9079,3939,677,364,35,2261,2664,54436
BGD,EMP,2011,26417,165,7333,130,2420,8977,3881,741,391,45,2861,2780,56140
BGD,EMP,2012,26563,195,8506,150,2282,8857,3825,811,419,57,3032,2867,57564
BGD,EMP,2013,26722,231,9843,174,2183,8728,3769,887,448,74,3418,2922,59399
BGD,EMP,2014,26315,171,9420,167,2411,1030,4025,839,442,82,3206,3044,51152
BGD,EMP,2015,25830,126,8997,160,2855,9042,4298,794,434,91,3927,3143,59697
BGD,EMP,2016,25398,92,8595,152,3327,9183,4589,751,425,101,3677,3240,59530
BGD,EMP,2017,25603,104,9083,116,3556,10432,5380,800,436,106,3815,3615,63045
BGD,EMP,2018,25809,100,9514,121,3646,10810,5619,879,468,117,3954,3730,64766
BOL,VA,1990,2371,1582,2620,248,474,1875,1262,570,262,914,1553,685,14163
BOL,VA,1991,2974,1495,3392,379,589,2320,1687,694,362,1119,1949,787,17400
BOL,VA,1992,3171,1602,3774,580,684,2545,2044,837,535,1174,2412,914,19785
BOL,VA,1993,3583,1268,4127,786,821,2799,2356,1000,674,1259,2805,1076,21941
BOL,VA,1994,4213,1354,4604,952,865,3143,2520,1149,838,1327,3168,1209,24616
BOL,VA,1995,4790,1945,5393,1102,955,3643,2641,1397,977,1413,3586,1408,28370
BOL,VA,1996,5324,2217,6166,1122,989,4220,3157,1703,1358,1652,4104,1639,32511
BOL,VA,1997,6213,2626,6047,1141,1195,4552,3557,2326,1830,1646,4669,1918,36034
BOL,VA,1998,5912,2592,6551,1308,1786,5117,4373,3005,2269,1708,5528,2217,40297
BOL,VA,1999,6385,2613,6546,1374,1574,5109,4410,3758,2659,1898,5779,2496,42265
BOL,VA,2000,6733,3405,6876,1510,1575,5366,4686,3616,2676,1962,6089,2692,44863
BOL,VA,2001,7130,3402,7178,1600,1493,5563,4957,3554,2559,2134,6661,2894,46862
BOL,VA,2002,7343,3633,7389,1652,1766,5870,5529,3311,2560,2191,7073,3111,49288
BOL,VA,2003,8312,4678,7914,1827,1426,6183,6261,3472,2331,2350,7815,3337,53911
BOL,VA,2004,9276,6582,8708,1923,1473,6950,6759,3643,2202,2492,8643,3626,60332
BOL,VA,2005,9083,7585,8956,1998,1695,7212,7119,3607,2521,2606,9275,3723,63174
BOL,VA,2006,10035,10657,10396,2127,2190,8219,7704,3864,2879,2734,10063,4109,72318
BOL,VA,2007,10312,12657,11758,2256,2470,9440,8057,4143,3415,2932,11355,4446,80081
